description,insurance_type,claim_type,severity,department
"Клиентът съобщава, че Автомобилът е ударен отзад в подземен гараж и има повреди по бронята. Клиентът представя документи за събитието.",Auto,Collision,High,Motor Claims
"В уведомлението е посочено, че При ремонт са повредени вещи на трето лице.",Liability,Property damage,Medium,Liability Claims
По първоначална информация Полетът е отменен и клиентът е направил допълнителни разходи.,Travel,Flight cancellation,Medium,Travel Claims
Има допълнителни разходи поради забавен полет. Налични са снимки на увредените части.,Travel,Flight delay,Medium,Travel Claims
По първоначална информация Автомобилът е ударен отзад на светофар и задната броня е счупена. Необходима е допълнителна проверка на обстоятелствата.,Auto,Rear-end collision,Medium,Motor Claims
"Клиентът съобщава, че Необходима е спешна евакуация по медицински причини. Подадено е уведомление към застрахователя.",Travel,Emergency evacuation,Critical,Travel Claims
"Клиентът съобщава, че Клиентът е транспортиран до болница с линейка. Необходима е допълнителна проверка на обстоятелствата.",Travel,Emergency evacuation,Critical,Travel Claims
Багажът е доставен със закъснение от два дни. Подадено е уведомление към застрахователя.,Travel,Delayed baggage,Medium,Travel Claims
"Клиентът съобщава, че Куфарът на клиента е изгубен по време на полет. Клиентът представя документи за събитието.",Travel,Lost baggage,High,Travel Claims
"В уведомлението е посочено, че След спукана тръба са увредени мебели и стени. Налични са снимки на увредените части.",Property,Flood,Medium,Property Claims
По първоначална информация Клиентът съобщава за удар отзад и повреден багажник. Необходима е допълнителна проверка на обстоятелствата.,Auto,Rear-end collision,Medium,Motor Claims
По първоначална информация Пострадал е посетител в обект на застрахования. Подадено е уведомление към застрахователя.,Liability,Bodily injury,High,Liability Claims
Пострадалият има счупена кост след злополука. Необходима е допълнителна проверка на обстоятелствата.,Accident,Fracture,High,Accident Claims
"Клиентът съобщава, че Пострадалият има счупена кост след злополука. Налични са снимки на увредените части.",Accident,Fracture,High,Accident Claims
"Клиентът съобщава, че Апартаментът е наводнен след авария в банята. Клиентът представя документи за събитието.",Property,Flood,High,Property Claims
"В уведомлението е посочено, че При ремонт са повредени вещи на трето лице. Клиентът представя документи за събитието.",Liability,Property damage,Medium,Liability Claims
"В уведомлението е посочено, че Счупено е страничното стъкло на автомобила. Подадено е уведомление към застрахователя.",Auto,Glass damage,Medium,Motor Claims
"Клиентът съобщава, че Има пукнатина на челното стъкло след удар от предмет. Налични са снимки на увредените части.",Auto,Glass damage,Low,Motor Claims
"В уведомлението е посочено, че Издаден е болничен лист след инцидент. Необходима е допълнителна проверка на обстоятелствата.",Accident,Temporary disability,High,Accident Claims
"Клиентът съобщава, че Клиентът е пропуснал връзка заради закъснение. Подадено е уведомление към застрахователя.",Travel,Flight delay,Medium,Travel Claims
Покривът е повреден след силен вятър. Клиентът представя документи за събитието.,Property,Roof damage,High,Property Claims
Неизвестно лице е повредило боята и фаровете. Подадено е уведомление към застрахователя.,Auto,Vandalism,Medium,Motor Claims
"В уведомлението е посочено, че Клиентът е пропуснал връзка заради закъснение. Необходима е допълнителна проверка на обстоятелствата.",Travel,Flight delay,Low,Travel Claims
"В уведомлението е посочено, че От жилището са откраднати техника и лични вещи. Клиентът представя документи за събитието.",Property,Theft,Medium,Property Claims
"В уведомлението е посочено, че Предното стъкло е спукано от камък по време на движение. Необходима е допълнителна проверка на обстоятелствата.",Auto,Glass damage,Medium,Motor Claims
"В уведомлението е посочено, че Клиентът е получил счупване на ръка след падане.",Accident,Fracture,High,Accident Claims
"В уведомлението е посочено, че Апартаментът е наводнен след авария в банята.",Property,Flood,Medium,Property Claims
"Клиентът съобщава, че Клиентът съобщава за удар отзад и повреден багажник. Необходима е допълнителна проверка на обстоятелствата.",Auto,Rear-end collision,High,Motor Claims
По първоначална информация Автомобилът е ударен отзад на кръстовище и има повреди по бронята. Налични са снимки на увредените части.,Auto,Collision,High,Motor Claims
След спукана тръба са увредени мебели и стени. Клиентът представя документи за събитието.,Property,Flood,Medium,Property Claims
По първоначална информация Вода от съседен имот е повредила подовата настилка. Клиентът представя документи за събитието.,Property,Flood,Medium,Property Claims
"В уведомлението е посочено, че Закупени са лекарства по лекарско предписание. Налични са снимки на увредените части.",Health,Medication reimbursement,Low,Health Claims
По първоначална информация На паркинг неизвестен автомобил е ударил колата и е повредена вратата. Необходима е допълнителна проверка на обстоятелствата.,Auto,Collision,High,Motor Claims
По първоначална информация Възникнали са съдебни разноски по застрахователен спор. Клиентът представя документи за събитието.,Liability,Legal expenses,Medium,Liability Claims
По първоначална информация Клиентът е бил хоспитализиран за няколко дни. Необходима е допълнителна проверка на обстоятелствата.,Health,Hospitalization,High,Health Claims
"Клиентът съобщава, че Оказана е спешна медицинска помощ. Налични са снимки на увредените части.",Health,Emergency treatment,Critical,Health Claims
"В уведомлението е посочено, че Необходима е спешна евакуация по медицински причини. Необходима е допълнителна проверка на обстоятелствата.",Travel,Emergency evacuation,High,Travel Claims
По първоначална информация Застрахованото лице е починало след тежък инцидент. Необходима е допълнителна проверка на обстоятелствата.,Accident,Death benefit,Critical,Accident Claims
По първоначална информация След спукана тръба са увредени мебели и стени.,Property,Flood,High,Property Claims
"Клиентът съобщава, че Полетът е отменен и клиентът е направил допълнителни разходи. Клиентът представя документи за събитието.",Travel,Flight cancellation,Medium,Travel Claims
"Клиентът съобщава, че Буря е нанесла щети по фасадата на къщата. Клиентът представя документи за събитието.",Property,Storm,High,Property Claims
Пожар е унищожил купето на автомобила. Налични са снимки на увредените части.,Auto,Fire,Critical,Motor Claims
"Клиентът съобщава, че Силен вятър е повредил прозорци и външна изолация.",Property,Storm,Medium,Property Claims
"Клиентът съобщава, че Автомобилът е изгорял частично след техническа неизправност.",Auto,Fire,High,Motor Claims
"Клиентът съобщава, че След земетресение има пукнатини по стените. Налични са снимки на увредените части.",Property,Earthquake,Critical,Property Claims
След силна буря има паднали клони върху покрива. Подадено е уведомление към застрахователя.,Property,Storm,High,Property Claims
"Клиентът съобщава, че Има теч от покрива след буря. Клиентът представя документи за събитието.",Property,Roof damage,High,Property Claims
"В уведомлението е посочено, че Клиентът е останал без багаж при пристигане. Клиентът представя документи за събитието.",Travel,Delayed baggage,Medium,Travel Claims
От жилището са откраднати техника и лични вещи. Налични са снимки на увредените части.,Property,Theft,High,Property Claims
Клиентът е пропуснал връзка заради закъснение. Клиентът представя документи за събитието.,Travel,Flight delay,Low,Travel Claims
По първоначална информация Клиентът е отговорен за материални щети към трета страна. Необходима е допълнителна проверка на обстоятелствата.,Liability,Property damage,High,Liability Claims
По първоначална информация Представени са рецепта и фактура за медикаменти. Налични са снимки на увредените части.,Health,Medication reimbursement,Medium,Health Claims
"В уведомлението е посочено, че Причинена е телесна повреда на друго лице.",Liability,Bodily injury,Critical,Liability Claims
Апартаментът е наводнен след авария в банята. Подадено е уведомление към застрахователя.,Property,Flood,Medium,Property Claims
Къщата е засегната от пожар и има опушени стени. Подадено е уведомление към застрахователя.,Property,Fire,High,Property Claims
По първоначална информация Буря е нанесла щети по фасадата на къщата. Налични са снимки на увредените части.,Property,Storm,Medium,Property Claims
Вода е навлязла в купето и е повредила електрониката. Необходима е допълнителна проверка на обстоятелствата.,Auto,Flood,High,Motor Claims
"Клиентът съобщава, че Клиентът има правни разходи във връзка с претенция. Необходима е допълнителна проверка на обстоятелствата.",Liability,Legal expenses,Medium,Liability Claims
Багажът е доставен със закъснение от два дни. Подадено е уведомление към застрахователя.,Travel,Delayed baggage,Low,Travel Claims
"В уведомлението е посочено, че Автомобилът е ударен отзад на светофар и задната броня е счупена.",Auto,Rear-end collision,Medium,Motor Claims
По първоначална информация Клиентът е претърпял операция и представя болнични документи. Подадено е уведомление към застрахователя.,Health,Surgery,Critical,Health Claims
"В уведомлението е посочено, че Оказана е спешна медицинска помощ. Необходима е допълнителна проверка на обстоятелствата.",Health,Emergency treatment,Critical,Health Claims
"В уведомлението е посочено, че След удар с диво животно има повредена броня и радиатор. Необходима е допълнителна проверка на обстоятелствата.",Auto,Animal collision,Medium,Motor Claims
"В уведомлението е посочено, че Полетът е отменен и клиентът е направил допълнителни разходи. Налични са снимки на увредените части.",Travel,Flight cancellation,Medium,Travel Claims
"Клиентът съобщава, че Клиентът е бил хоспитализиран за няколко дни. Необходима е допълнителна проверка на обстоятелствата.",Health,Hospitalization,High,Health Claims
Извършено е амбулаторно лечение.,Health,Outpatient treatment,Low,Health Claims
По първоначална информация Счупено е огледало и има следи от вандализъм. Клиентът представя документи за събитието.,Auto,Vandalism,Medium,Motor Claims
"Клиентът съобщава, че Причинена е телесна повреда на друго лице. Необходима е допълнителна проверка на обстоятелствата.",Liability,Bodily injury,Critical,Liability Claims
"В уведомлението е посочено, че Друг водач е отнел предимство и е ударил автомобила отстрани. Необходима е допълнителна проверка на обстоятелствата.",Auto,Side collision,High,Motor Claims
"Клиентът съобщава, че Клиентът има правни разходи във връзка с претенция. Клиентът представя документи за събитието.",Liability,Legal expenses,High,Liability Claims
"В уведомлението е посочено, че Вода е навлязла в купето и е повредила електрониката. Необходима е допълнителна проверка на обстоятелствата.",Auto,Flood,Critical,Motor Claims
"В уведомлението е посочено, че Пострадалият има счупена кост след злополука. Необходима е допълнителна проверка на обстоятелствата.",Accident,Fracture,Medium,Accident Claims
"Клиентът съобщава, че Клиентът е временно нетрудоспособен след злополука. Клиентът представя документи за събитието.",Accident,Temporary disability,Medium,Accident Claims
"В уведомлението е посочено, че Къщата е засегната от пожар и има опушени стени.",Property,Fire,High,Property Claims
По първоначална информация След земетресение има пукнатини по стените. Налични са снимки на увредените части.,Property,Earthquake,High,Property Claims
"В уведомлението е посочено, че Клиентът е получил счупване на ръка след падане. Клиентът представя документи за събитието.",Accident,Fracture,High,Accident Claims
"Клиентът съобщава, че Представени са фактури за консултация и изследвания. Необходима е допълнителна проверка на обстоятелствата.",Health,Outpatient treatment,Low,Health Claims
По първоначална информация Друг водач е отнел предимство и е ударил автомобила отстрани.,Auto,Side collision,Medium,Motor Claims
"В уведомлението е посочено, че След сблъсък между два автомобила има щети по калника и фара. Клиентът представя документи за събитието.",Auto,Collision,High,Motor Claims
"В уведомлението е посочено, че Клиентът е временно нетрудоспособен след злополука. Подадено е уведомление към застрахователя.",Accident,Temporary disability,Medium,Accident Claims
По първоначална информация По време на пътуване е възникнала нужда от медицинска евакуация. Подадено е уведомление към застрахователя.,Travel,Emergency evacuation,High,Travel Claims
"В уведомлението е посочено, че В двигателния отсек е възникнал пожар и автомобилът е силно увреден. Налични са снимки на увредените части.",Auto,Fire,Critical,Motor Claims
Пострадалият има счупена кост след злополука. Клиентът представя документи за събитието.,Accident,Fracture,High,Accident Claims
Клиентът е приет по спешност след внезапно влошаване. Налични са снимки на увредените части.,Health,Emergency treatment,Critical,Health Claims
Неизвестно лице е повредило боята и фаровете. Подадено е уведомление към застрахователя.,Auto,Vandalism,Low,Motor Claims
По първоначална информация Полетът е закъснял с повече от шест часа. Клиентът представя документи за събитието.,Travel,Flight delay,Medium,Travel Claims
"В уведомлението е посочено, че Покривът е повреден след силен вятър. Подадено е уведомление към застрахователя.",Property,Roof damage,Medium,Property Claims
"Клиентът съобщава, че Пострадал е посетител в обект на застрахования. Подадено е уведомление към застрахователя.",Liability,Bodily injury,High,Liability Claims
"В уведомлението е посочено, че След пренапрежение са изгорели електроуреди. Налични са снимки на увредените части.",Property,Electrical damage,Low,Property Claims
"В уведомлението е посочено, че Клиентът иска възстановяване на разходи за лекарства. Необходима е допълнителна проверка на обстоятелствата.",Health,Medication reimbursement,Low,Health Claims
"Клиентът съобщава, че Счупено е страничното стъкло на автомобила. Необходима е допълнителна проверка на обстоятелствата.",Auto,Glass damage,Medium,Motor Claims
По първоначална информация Счупено е огледало и има следи от вандализъм. Необходима е допълнителна проверка на обстоятелствата.,Auto,Vandalism,Medium,Motor Claims
"В уведомлението е посочено, че Апартаментът е наводнен след авария в банята. Подадено е уведомление към застрахователя.",Property,Flood,Medium,Property Claims
По първоначална информация Къщата е засегната от пожар и има опушени стени. Необходима е допълнителна проверка на обстоятелствата.,Property,Fire,Critical,Property Claims
По първоначална информация Подадени са документи за лечение в болница. Необходима е допълнителна проверка на обстоятелствата.,Health,Hospitalization,High,Health Claims
Предното стъкло е спукано от камък по време на движение. Необходима е допълнителна проверка на обстоятелствата.,Auto,Glass damage,Low,Motor Claims
"Клиентът съобщава, че Водачът е изгубил контрол и се е ударил в мантинела извън населено място. Клиентът представя документи за събитието.",Auto,Collision,Medium,Motor Claims
Клиентът е получил лечение в болница в чужбина. Необходима е допълнителна проверка на обстоятелствата.,Travel,Medical expenses,High,Travel Claims
"В уведомлението е посочено, че При ремонт са повредени вещи на трето лице. Необходима е допълнителна проверка на обстоятелствата.",Liability,Property damage,High,Liability Claims
Клиентът съобщава за удар отзад и повреден багажник. Клиентът представя документи за събитието.,Auto,Rear-end collision,High,Motor Claims
Колата е била паркирана в подземен гараж при наводнение.,Auto,Flood,High,Motor Claims
"Клиентът съобщава, че Къщата е засегната от пожар и има опушени стени.",Property,Fire,Critical,Property Claims
Неизвестни лица са проникнали в имота и са откраднали имущество.,Property,Theft,High,Property Claims
По първоначална информация Застрахованият е причинил щети на чуждо имущество. Клиентът представя документи за събитието.,Liability,Property damage,High,Liability Claims
"В уведомлението е посочено, че Друг водач е отнел предимство и е ударил автомобила отстрани. Налични са снимки на увредените части.",Auto,Side collision,High,Motor Claims
По първоначална информация Автомобилът е наводнен след проливен дъжд. Необходима е допълнителна проверка на обстоятелствата.,Auto,Flood,High,Motor Claims
"В уведомлението е посочено, че Клиентът е бил хоспитализиран за няколко дни. Клиентът представя документи за събитието.",Health,Hospitalization,High,Health Claims
"В уведомлението е посочено, че Необходими са адвокатски разходи за защита. Необходима е допълнителна проверка на обстоятелствата.",Liability,Legal expenses,High,Liability Claims
"Клиентът съобщава, че Клиентът е отговорен за материални щети към трета страна.",Liability,Property damage,Medium,Liability Claims
"Клиентът съобщава, че Има пукнатина на челното стъкло след удар от предмет. Подадено е уведомление към застрахователя.",Auto,Glass damage,Low,Motor Claims
По първоначална информация Куфарът на клиента е изгубен по време на полет.,Travel,Lost baggage,Medium,Travel Claims
По първоначална информация Автомобилът е ударен странично на кръстовище.,Auto,Side collision,Medium,Motor Claims
По първоначална информация Клиентът е бил хоспитализиран за няколко дни. Клиентът представя документи за събитието.,Health,Hospitalization,High,Health Claims
"В уведомлението е посочено, че Необходими са адвокатски разходи за защита. Клиентът представя документи за събитието.",Liability,Legal expenses,High,Liability Claims
"Клиентът съобщава, че Клиентът е посетил специалист и е заплатил преглед. Необходима е допълнителна проверка на обстоятелствата.",Health,Outpatient treatment,Low,Health Claims
Полетът е отменен и клиентът е направил допълнителни разходи.,Travel,Flight cancellation,Medium,Travel Claims
Пострадалият не може да работи временно след травма. Необходима е допълнителна проверка на обстоятелствата.,Accident,Temporary disability,Medium,Accident Claims
"Клиентът съобщава, че Възникнали са съдебни разноски по застрахователен спор. Подадено е уведомление към застрахователя.",Liability,Legal expenses,Medium,Liability Claims
По първоначална информация Силен вятър е повредил прозорци и външна изолация.,Property,Storm,Medium,Property Claims
Клиентът е приет по спешност след внезапно влошаване. Налични са снимки на увредените части.,Health,Emergency treatment,High,Health Claims
По първоначална информация Има теч от покрива след буря. Налични са снимки на увредените части.,Property,Roof damage,Medium,Property Claims
По първоначална информация Пострадалият не може да работи временно след травма. Клиентът представя документи за събитието.,Accident,Temporary disability,High,Accident Claims
Има паднала мазилка и напукани тавани след земетресение. Необходима е допълнителна проверка на обстоятелствата.,Property,Earthquake,Critical,Property Claims
"Клиентът съобщава, че Клиентът е посетил специалист и е заплатил преглед.",Health,Outpatient treatment,Medium,Health Claims
"Клиентът съобщава, че Автомобилът е изгорял частично след техническа неизправност. Налични са снимки на увредените части.",Auto,Fire,High,Motor Claims
След спукана тръба са увредени мебели и стени. Налични са снимки на увредените части.,Property,Flood,High,Property Claims
"В уведомлението е посочено, че Счупено е страничното стъкло на автомобила.",Auto,Glass damage,Low,Motor Claims
"В уведомлението е посочено, че Клиентът иска възстановяване на разходи за лекарства. Налични са снимки на увредените части.",Health,Medication reimbursement,Medium,Health Claims
"В уведомлението е посочено, че Автомобилът е ударен отзад на паркинг и има повреди по бронята. Подадено е уведомление към застрахователя.",Auto,Collision,Medium,Motor Claims
По първоначална информация Извършена е хирургична интервенция по медицински показания. Необходима е допълнителна проверка на обстоятелствата.,Health,Surgery,Critical,Health Claims
Авиокомпанията е загубила регистрирания багаж. Подадено е уведомление към застрахователя.,Travel,Lost baggage,Medium,Travel Claims
По първоначална информация Вода от съседен имот е повредила подовата настилка. Налични са снимки на увредените части.,Property,Flood,Medium,Property Claims
Клиентът съобщава за удар отзад и повреден багажник.,Auto,Rear-end collision,High,Motor Claims
"В уведомлението е посочено, че В двигателния отсек е възникнал пожар и автомобилът е силно увреден. Необходима е допълнителна проверка на обстоятелствата.",Auto,Fire,Critical,Motor Claims
"Клиентът съобщава, че Има паднала мазилка и напукани тавани след земетресение.",Property,Earthquake,Critical,Property Claims
По първоначална информация Водопроводна авария е наводнила коридора. Подадено е уведомление към застрахователя.,Property,Burst pipe,High,Property Claims
По първоначална информация Има взломна кражба и повредена входна врата. Подадено е уведомление към застрахователя.,Property,Theft,High,Property Claims
Клиентът е приет по спешност след внезапно влошаване.,Health,Emergency treatment,Critical,Health Claims
"Клиентът съобщава, че Апартаментът е наводнен след авария в банята. Клиентът представя документи за събитието.",Property,Flood,High,Property Claims
"Клиентът съобщава, че Необходими са адвокатски разходи за защита. Необходима е допълнителна проверка на обстоятелствата.",Liability,Legal expenses,High,Liability Claims
"Клиентът съобщава, че Пострадалият не може да работи временно след травма. Налични са снимки на увредените части.",Accident,Temporary disability,Medium,Accident Claims
Авиокомпанията е анулирала полета в деня на пътуването.,Travel,Flight cancellation,High,Travel Claims
По първоначална информация Пострадалият не може да работи временно след травма. Клиентът представя документи за събитието.,Accident,Temporary disability,High,Accident Claims
По първоначална информация В двигателния отсек е възникнал пожар и автомобилът е силно увреден.,Auto,Fire,Critical,Motor Claims
"В уведомлението е посочено, че При движение извън града е настъпил сблъсък с животно. Подадено е уведомление към застрахователя.",Auto,Animal collision,High,Motor Claims
"Клиентът съобщава, че Автомобилът се е ударил в животно на пътя.",Auto,Animal collision,High,Motor Claims
"Клиентът съобщава, че Полетът е закъснял с повече от шест часа. Подадено е уведомление към застрахователя.",Travel,Flight delay,Medium,Travel Claims
"Клиентът съобщава, че Друг водач е отнел предимство и е ударил автомобила отстрани. Необходима е допълнителна проверка на обстоятелствата.",Auto,Side collision,Medium,Motor Claims
По първоначална информация Счупено е страничното стъкло на автомобила. Подадено е уведомление към застрахователя.,Auto,Glass damage,Medium,Motor Claims
По първоначална информация При движение в Пловдив е настъпило ПТП със страничен удар. Необходима е допълнителна проверка на обстоятелствата.,Auto,Collision,High,Motor Claims
"В уведомлението е посочено, че Автомобилът е ударен отзад на светофар и задната броня е счупена. Клиентът представя документи за събитието.",Auto,Rear-end collision,Medium,Motor Claims
"В уведомлението е посочено, че Има пукнатина на челното стъкло след удар от предмет. Налични са снимки на увредените части.",Auto,Glass damage,Medium,Motor Claims
"В уведомлението е посочено, че След силна буря има паднали клони върху покрива. Необходима е допълнителна проверка на обстоятелствата.",Property,Storm,Medium,Property Claims
По първоначална информация Пострадалият има счупена кост след злополука. Подадено е уведомление към застрахователя.,Accident,Fracture,Medium,Accident Claims
"В уведомлението е посочено, че Подадена е претенция за възстановяване на разходи за операция. Клиентът представя документи за събитието.",Health,Surgery,High,Health Claims
По първоначална информация Клиентът има правни разходи във връзка с претенция. Налични са снимки на увредените части.,Liability,Legal expenses,High,Liability Claims
Колата е била паркирана в подземен гараж при наводнение. Подадено е уведомление към застрахователя.,Auto,Flood,High,Motor Claims
"В уведомлението е посочено, че Има страничен удар в лявата врата след ПТП. Налични са снимки на увредените части.",Auto,Side collision,High,Motor Claims
"Клиентът съобщава, че Извършена е хирургична интервенция по медицински показания. Налични са снимки на увредените части.",Health,Surgery,High,Health Claims
По първоначална информация Необходими са адвокатски разходи за защита. Необходима е допълнителна проверка на обстоятелствата.,Liability,Legal expenses,Medium,Liability Claims
По първоначална информация Автомобилът е ударен отзад на светофар и задната броня е счупена. Клиентът представя документи за събитието.,Auto,Rear-end collision,High,Motor Claims
Вода е навлязла в купето и е повредила електрониката.,Auto,Flood,Critical,Motor Claims
Багажът е доставен със закъснение от два дни. Необходима е допълнителна проверка на обстоятелствата.,Travel,Delayed baggage,Low,Travel Claims
Паднали керемиди са причинили щети по тавана. Подадено е уведомление към застрахователя.,Property,Roof damage,High,Property Claims
По първоначална информация На паркинг неизвестен автомобил е ударил колата и е повредена вратата. Налични са снимки на увредените части.,Auto,Collision,Medium,Motor Claims
Пострадалият има счупена кост след злополука. Необходима е допълнителна проверка на обстоятелствата.,Accident,Fracture,High,Accident Claims
По първоначална информация При движение извън града е настъпил сблъсък с животно. Налични са снимки на увредените части.,Auto,Animal collision,Medium,Motor Claims
"Клиентът съобщава, че Водопроводна авария е наводнила коридора. Подадено е уведомление към застрахователя.",Property,Burst pipe,Medium,Property Claims
"В уведомлението е посочено, че След сблъсък между два автомобила има щети по калника и фара.",Auto,Collision,High,Motor Claims
"Клиентът съобщава, че Апартаментът е наводнен след авария в банята. Налични са снимки на увредените части.",Property,Flood,Medium,Property Claims
По първоначална информация Колата е била паркирана в подземен гараж при наводнение. Клиентът представя документи за събитието.,Auto,Flood,High,Motor Claims
Вода е навлязла в купето и е повредила електрониката. Подадено е уведомление към застрахователя.,Auto,Flood,High,Motor Claims
"Клиентът съобщава, че След сблъсък между два автомобила има щети по калника и фара.",Auto,Collision,Medium,Motor Claims
Клиентът е бил хоспитализиран за няколко дни. Необходима е допълнителна проверка на обстоятелствата.,Health,Hospitalization,Medium,Health Claims
По първоначална информация Полетът е отменен и клиентът е направил допълнителни разходи. Клиентът представя документи за събитието.,Travel,Flight cancellation,Medium,Travel Claims
По първоначална информация Апартаментът е наводнен след авария в банята. Налични са снимки на увредените части.,Property,Flood,Medium,Property Claims
По първоначална информация Пострадал е посетител в обект на застрахования. Налични са снимки на увредените части.,Liability,Bodily injury,Critical,Liability Claims
Извършена е хирургична интервенция по медицински показания. Налични са снимки на увредените части.,Health,Surgery,Critical,Health Claims
"Клиентът съобщава, че Автомобилът е надраскан умишлено с остър предмет.",Auto,Vandalism,Medium,Motor Claims
По първоначална информация Клиентът е получил лечение в болница в чужбина. Необходима е допълнителна проверка на обстоятелствата.,Travel,Medical expenses,Medium,Travel Claims
Счупено е страничното стъкло на автомобила. Налични са снимки на увредените части.,Auto,Glass damage,Medium,Motor Claims
По първоначална информация Авиокомпанията е загубила регистрирания багаж. Подадено е уведомление към застрахователя.,Travel,Lost baggage,Medium,Travel Claims
"В уведомлението е посочено, че След пренапрежение са изгорели електроуреди. Клиентът представя документи за събитието.",Property,Electrical damage,Medium,Property Claims
Друг водач е отнел предимство и е ударил автомобила отстрани. Подадено е уведомление към застрахователя.,Auto,Side collision,High,Motor Claims
